name,manufacturer,discount_rate,amount,expiration_date,lot,price
レボフロキサシン点眼液０．５％「日点」,日本点眼薬研究所,35%,10,2016年8月,,466
レボフロキサシン点眼液０．５％「日点」,日本点眼薬研究所,35%,5,2017年9月,,233
レボフロキサシン点眼液１．５％「わかもと」,わかもと,30%,15,2016年10月,,306
レボレード錠１２．５ｍｇ,ＧＳＫ,30%,28,2017年1月,,"52,619"
レミカットカプセル１ｍｇ,興和,30%,100,2015年10月,,"2,576"
レミカットカプセル２ｍｇ,興和,固定価格販売,8,2015年10月,,200
レミニールＯＤ錠４ｍｇ,ヤンセンファーマ,30%,28,2016年1月,,"2,104"
レミニール内用液４ｍｇ／ｍＬ,ヤンセンファーマ,70%,14,2015年11月,,406
レモナミン錠１．５ｍｇ,共和薬工,固定価格販売,32,2015年12月,,200
レモナミン錠１ｍｇ,共和薬工,固定価格販売,88,2015年10月,,200
レリフェン錠４００ｍｇ,三和化学,70%,100,2015年12月,,"1,005"
レリフェン錠４００ｍｇ,三和化学,35%,37,2016年8月,,806
レリフェン錠４００ｍｇ,三和化学,40%,100,2017年6月,,"2,010"
ロカルトロールカプセル０．５,中外製薬,30%,29,2016年2月,,"1,223"
ロキシスロマイシン錠１５０ｍｇ「サワイ」 ,沢井製薬,30%,38,2017年7月,,796
ロキソプロフェンＮａゲル１％「ＪＧ」,日本ジェネリック,固定価格販売,25,2017年1月,,200
ロキソプロフェンナトリウムテープ５０ｍｇ「ファイザー」,大石膏盛堂,40%,42,2016年6月,,434
ロキタットカプセル７５ｍｇ,沢井製薬,固定価格販売,28,2015年8月,,200
ロコプール錠１０,沢井製薬,固定価格販売,4,2016年7月,,200
ロコルナール錠１００ｍｇ,持田製薬,35%,16,2019年2月,,267
ロコルナール錠１００ｍｇ,持田製薬,35%,100,2016年11月,,"1,664"
ロサルタンＫ錠１００ｍｇ「ファイザー」,ファイザー,40%,55,2016年4月,,"3,792"
ロサルタンカリウム錠２５ｍｇ「サワイ」,沢井製薬,35%,40,2017年5月,,793
ロドピン錠１００ｍｇ,アステラス(藤沢),40%,14,2016年11月,,672
ロドピン錠１００ｍｇ,アステラス(藤沢),35%,14,2016年12月,,728
ロドピン錠５０ｍｇ,アステラス(藤沢),35%,39,2016年7月,,"1,058"
ロドピン錠５０ｍｇ,アステラス(藤沢),35%,90,2017年9月,,"2,441"
ロドピン錠５０ｍｇ,アステラス(藤沢),35%,50,2017年3月,,"1,356"
ロドピン錠５０ｍｇ,アステラス(藤沢),35%,80,2016年12月,,"2,169"
ロペミン小児用細粒０．０５％,ヤンセンファーマ,40%,9.8,2016年9月,,332
ロペミン小児用細粒０．０５％,ヤンセンファーマ,固定価格販売,1.8,2017年11月,,200
ロペミン小児用細粒０．０５％,ヤンセンファーマ,35%,10.4,2017年11月,,381
ロペミン小児用細粒０．０５％,ヤンセンファーマ,35%,8,2017年11月,,294
ロペミン小児用細粒０．０５％,ヤンセンファーマ,固定価格販売,4,2016年9月,,200
ロラタジン錠１０ｍｇ「ＦＦＰ」,富士フイルムファーマ,40%,20,2016年2月,,641
ロラタジン錠１０ｍｇ「サワイ」,沢井製薬,30%,80,2015年10月,,"2,991"
ロルフェナミン錠６０ｍｇ,日医工,,40,2015年8月,,200
ロンゲリール錠１０,日医工,固定価格販売,60,2015年10月,,200
ワークミンカプセル０．２５,あすか製薬,固定価格販売,15,2015年12月,,200
ワイテンス錠２ｍｇ,アルフレッサ　ファーマ,40%,30,2016年9月,,292
ワカデニン腸溶錠１５ｍｇ,わかもと,82%,68,2016年11月,,68
ワカデニン腸溶錠１５ｍｇ,わかもと,固定価格販売,30,2015年12月,,200
ワカデニン腸溶錠１５ｍｇ,わかもと,固定価格販売,2,2015年8月,,200
ワカデニン腸溶錠５ｍｇ,わかもと,40%,60,2016年9月,,202
ワルファリンＫ錠０．５ｍｇ「ＮＰ」,ニプロ,35%,44,2017年1月,,275
ワルファリンカリウム錠０．５ｍｇ「ＨＤ」,ニプロファーマ,70%,80,2015年12月,,231
ワルファリンカリウム錠０．５ｍｇ「ＨＤ」,ニプロファーマ,40%,80,2016年4月,,461
塩酸アマンタジン錠５０「日医工」,日医工,固定価格販売,4,2016年5月,,200
塩酸バンコマイシン散０．５「ＭＥＥＫ」,小林化工,35%,6,2016年8月,,"5,902"
塩酸ピルジカイニドカプセル５０ｍｇ「タイヨー」,テバ製薬,35%,60,2017年2月,,"1,826"
